benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_102,approximated,345.615,592.912,407.778,20.57,0.582912,155.447,402.744,217.61,20.57,156.078,403.375,218.241,20.57
chartqa,1792,1024,chartqa_val_103,approximated,347.023,2327.689,408.991,21.085,0.149085,155.651,2136.317,217.619,21.085,155.954,2136.62,217.922,21.085
chartqa,1792,1024,chartqa_val_104,approximated,367.515,636.435,429.608,20.683,0.577458,160.428,429.348,222.521,20.683,155.94,424.86,218.033,20.683
chartqa,1792,1024,chartqa_val_105,approximated,350.382,3086.283,412.116,20.571,0.113529,159.415,2895.316,221.149,20.571,156.038,2891.939,217.772,20.571
chartqa,1792,1024,chartqa_val_106,approximated,346.583,967.539,408.545,20.704,0.358211,154.597,775.553,216.559,20.704,156.034,776.99,217.996,20.704
chartqa,1792,1024,chartqa_val_107,approximated,361.006,3237.02,423.883,21.64,0.111524,154.333,3030.347,217.21,21.64,156.056,3032.07,218.933,21.64
chartqa,1792,1024,chartqa_val_108,approximated,362.958,689.804,424.979,22.069,0.526175,156.126,482.972,218.147,22.069,156.295,483.141,218.316,22.069
chartqa,1792,1024,chartqa_val_109,approximated,361.721,1426.662,423.642,22.289,0.253544,157.659,1222.6,219.58,22.289,156.096,1221.037,218.017,22.289
chartqa,1792,1024,chartqa_val_110,approximated,361.986,823.709,424.045,22.204,0.439459,154.887,616.61,216.946,22.204,156.237,617.96,218.296,22.204
chartqa,1792,1024,chartqa_val_111,approximated,366.099,3493.911,428.576,22.375,0.104782,155.332,3283.144,217.809,22.375,156.014,3283.826,218.491,22.375
