benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_221,359.35,1699.338,421.837,21.653,0.211465,0.9938,,,,0.9987,1.0,amdahl
chartqa,1792,1024,chartqa_val_222,365.427,2247.163,427.633,22.463,0.162617,1.0091,,,,1.0015,1.0,amdahl
chartqa,1792,1024,chartqa_val_223,375.501,790.485,438.592,21.993,0.475027,1.1897,,,,1.082,1.0,amdahl
chartqa,1792,1024,chartqa_val_224,364.476,628.825,426.556,22.474,0.579615,1.0213,,,,1.0123,1.0,amdahl
chartqa,1792,1024,chartqa_val_225,356.897,815.089,418.701,22.022,0.437863,0.9938,,,,0.9973,1.0,amdahl
chartqa,1792,1024,chartqa_val_226,359.505,1296.446,421.571,22.433,0.2773,0.9911,,,,0.9975,1.0,amdahl
chartqa,1792,1024,chartqa_val_227,354.136,2861.633,416.646,20.375,0.123753,0.9934,,,,0.9992,1.0,amdahl
chartqa,1792,1024,chartqa_val_228,345.647,552.027,407.777,20.607,0.626142,0.9902,,,,0.9938,1.0,amdahl
chartqa,1792,1024,chartqa_val_229,461.468,969.134,523.779,21.207,0.476166,0.9946,,,,0.9974,1.0,amdahl
chartqa,1792,1024,chartqa_val_230,364.207,2007.548,426.985,22.261,0.181419,0.9954,,,,0.9992,1.0,amdahl
chartqa,1792,1024,chartqa_val_231,382.936,881.184,445.795,21.769,0.434569,0.9988,,,,0.9995,1.0,amdahl
chartqa,1792,1024,chartqa_val_232,356.522,1230.042,418.929,21.922,0.289846,1.0077,,,,1.0022,1.0,amdahl
chartqa,1792,1024,chartqa_val_233,358.434,10681.865,420.472,22.259,0.033555,0.9928,,,,0.9998,1.0,amdahl
chartqa,1792,1024,chartqa_val_234,351.782,2024.413,413.807,20.917,0.17377,1.0201,,,,1.0034,1.0,amdahl
chartqa,1792,1024,chartqa_val_235,348.174,1427.363,410.599,20.75,0.243928,1.0038,,,,1.0009,1.0,amdahl
chartqa,1792,1024,chartqa_val_236,354.095,583.948,416.032,20.99,0.606382,0.9967,,,,0.998,1.0,amdahl
chartqa,1792,1024,chartqa_val_237,365.971,936.845,428.511,22.101,0.390641,0.9965,,,,0.9986,1.0,amdahl
chartqa,1792,1024,chartqa_val_238,361.531,1023.832,423.588,22.231,0.353115,1.0046,,,,1.0016,1.0,amdahl
chartqa,1792,1024,chartqa_val_239,364.82,10617.509,427.248,22.899,0.03436,0.9969,,,,0.9999,1.0,amdahl
chartqa,1792,1024,chartqa_val_240,370.746,1814.472,433.584,23.015,0.204327,1.0935,,,,1.0178,1.0,amdahl
chartqa,1792,1024,chartqa_val_241,374.83,4747.751,437.412,22.686,0.078949,0.992,,,,0.9994,1.0,amdahl
chartqa,1792,1024,chartqa_val_242,358.929,993.615,421.785,21.179,0.361235,1.0089,,,,1.0032,1.0,amdahl
chartqa,1792,1024,chartqa_val_243,366.949,14366.167,429.283,21.948,0.025543,1.0034,,,,1.0001,1.0,amdahl
chartqa,1792,1024,chartqa_val_244,350.964,1903.055,413.281,20.691,0.184421,0.9921,,,,0.9985,1.0,amdahl
chartqa,1792,1024,chartqa_val_245,356.866,918.745,418.772,22.726,0.388427,1.0288,,,,1.011,1.0,amdahl
chartqa,1792,1024,chartqa_val_246,371.89,1425.542,434.944,22.514,0.260876,1.0274,,,,1.007,1.0,amdahl
chartqa,1792,1024,chartqa_val_247,359.484,4963.465,421.314,21.629,0.072426,1.0088,,,,1.0006,1.0,amdahl
chartqa,1792,1024,chartqa_val_248,359.008,1335.87,422.024,21.758,0.268745,0.9975,,,,0.9993,1.0,amdahl
chartqa,1792,1024,chartqa_val_249,363.691,12532.944,426.11,22.337,0.029019,0.9902,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_250,384.38,826.618,447.03,23.724,0.465003,1.0071,,,,1.0033,1.0,amdahl
chartqa,1792,1024,chartqa_val_251,385.885,7175.098,449.483,23.599,0.053781,0.996,,,,0.9998,1.0,amdahl
chartqa,1792,1024,chartqa_val_252,364.817,583.956,427.181,22.396,0.624734,0.9899,,,,0.9937,1.0,amdahl
chartqa,1792,1024,chartqa_val_253,356.771,930.531,419.321,21.3,0.383406,1.0198,,,,1.0075,1.0,amdahl
chartqa,1792,1024,chartqa_val_254,366.198,1468.769,428.526,22.614,0.249323,1.0099,,,,1.0025,1.0,amdahl
chartqa,1792,1024,chartqa_val_255,365.539,5362.504,427.654,22.637,0.068166,1.0156,,,,1.0011,1.0,amdahl
chartqa,1792,1024,chartqa_val_256,372.603,906.047,434.903,22.435,0.41124,0.9932,,,,0.9972,1.0,amdahl
chartqa,1792,1024,chartqa_val_257,376.049,4490.938,438.131,24.864,0.083735,1.0078,,,,1.0006,1.0,amdahl
chartqa,1792,1024,chartqa_val_258,359.199,730.766,421.466,22.093,0.491537,0.9985,,,,0.9993,1.0,amdahl
chartqa,1792,1024,chartqa_val_259,363.07,4453.107,425.871,22.128,0.081532,1.0213,,,,1.0017,1.0,amdahl
chartqa,1792,1024,chartqa_val_260,380.125,1451.603,442.968,22.924,0.261866,1.0084,,,,1.0022,1.0,amdahl
chartqa,1792,1024,chartqa_val_261,361.865,4323.472,424.437,22.154,0.083698,1.0477,,,,1.0038,1.0,amdahl
chartqa,1792,1024,chartqa_val_262,363.941,2988.612,426.62,21.897,0.121776,0.9964,,,,0.9996,1.0,amdahl
chartqa,1792,1024,chartqa_val_263,368.643,4250.439,430.785,22.207,0.08673,1.0587,,,,1.0048,1.0,amdahl
chartqa,1792,1024,chartqa_val_264,358.524,1322.903,420.888,22.0,0.271013,1.0157,,,,1.0042,1.0,amdahl
chartqa,1792,1024,chartqa_val_265,361.37,1187.996,423.657,21.838,0.304185,1.0119,,,,1.0036,1.0,amdahl
chartqa,1792,1024,chartqa_val_266,537.47,1738.481,599.826,22.327,0.309161,0.993,,,,0.9978,1.0,amdahl
chartqa,1792,1024,chartqa_val_267,361.848,3383.52,423.717,21.604,0.106944,1.0093,,,,1.001,1.0,amdahl
