benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
docvqa,1792,1024,docvqa_33153,approximated,422.183,481.736,484.322,498.141,982.463,20.756,0.429719,166.787,233.192,236.67,734.811,20.756,156.542,222.628,225.277,723.418,20.756
docvqa,1792,1024,docvqa_57733,approximated,420.842,481.461,484.498,583.532,1068.03,25.371,0.394035,160.284,227.028,229.409,812.941,25.371,156.52,223.101,225.601,809.133,25.371
docvqa,1792,1024,docvqa_49542,approximated,417.603,477.607,480.281,352.314,832.595,20.724,0.501568,156.391,222.494,224.812,577.126,20.724,156.71,222.977,225.17,577.484,20.724
docvqa,1792,1024,docvqa_33158,approximated,382.743,442.324,444.688,203.958,648.646,20.396,0.590064,156.727,223.393,225.688,429.646,20.396,156.352,222.418,224.568,428.526,20.396
docvqa,1792,1024,docvqa_49544,approximated,381.798,441.837,446.293,637.753,1084.046,21.258,0.352197,161.779,235.084,237.365,875.118,21.258,158.109,225.006,228.053,865.806,21.258
docvqa,1792,1024,docvqa_58694,approximated,358.801,418.331,420.785,408.025,828.81,21.475,0.432911,157.834,223.837,226.06,634.085,21.475,156.497,222.939,225.095,633.12,21.475
docvqa,1792,1024,docvqa_49546,approximated,346.972,406.688,408.86,1343.862,1752.722,22.031,0.197962,159.109,225.441,228.027,1571.889,22.031,156.545,223.204,225.5,1569.362,22.031
docvqa,1792,1024,docvqa_395,approximated,347.327,407.103,409.294,225.01,634.304,20.455,0.547572,168.643,235.499,240.69,465.7,20.455,156.631,224.628,226.953,451.963,20.455
docvqa,1792,1024,docvqa_396,approximated,394.893,454.786,457.529,511.882,969.411,24.375,0.407353,155.524,221.566,223.821,735.703,24.375,156.4,224.117,226.401,738.283,24.375
docvqa,1792,1024,docvqa_397,approximated,380.088,440.244,442.919,483.213,926.132,23.01,0.410404,156.923,223.2,225.411,708.624,23.01,158.513,225.284,229.558,712.771,23.01
docvqa,1792,1024,docvqa_49550,approximated,397.313,457.021,459.562,1302.979,1762.541,25.549,0.22542,156.745,223.666,226.317,1529.296,25.549,158.719,230.833,233.164,1536.143,25.549
docvqa,1792,1024,docvqa_58695,approximated,354.097,413.834,417.601,511.4,929.001,22.235,0.381159,157.093,225.664,228.112,739.512,22.235,156.626,224.005,226.289,737.689,22.235
docvqa,1792,1024,docvqa_398,approximated,373.816,433.644,436.291,289.744,726.035,22.288,0.514874,155.866,222.23,224.807,514.551,22.288,156.425,222.823,225.057,514.801,22.288
docvqa,1792,1024,docvqa_49555,approximated,391.397,451.04,453.327,793.55,1246.877,24.047,0.313902,159.734,229.642,232.173,1025.723,24.047,156.757,223.238,226.431,1019.981,24.047
docvqa,1792,1024,docvqa_16789,approximated,423.48,483.08,486.54,535.488,1022.028,22.312,0.414352,155.375,221.696,223.988,759.476,22.312,156.61,230.027,232.512,768.0,22.312
docvqa,1792,1024,docvqa_407,approximated,349.504,409.016,411.404,262.621,674.025,20.202,0.518533,157.374,223.981,226.482,489.103,20.202,156.417,222.764,225.216,487.837,20.202
docvqa,1792,1024,docvqa_49560,approximated,382.632,442.165,445.456,540.804,986.26,20.03,0.387963,160.011,226.24,228.745,769.549,20.03,156.661,223.355,226.352,767.156,20.03
docvqa,1792,1024,docvqa_408,approximated,350.21,409.867,412.237,285.536,697.773,20.395,0.501897,155.48,492.037,494.337,779.873,20.395,156.548,223.924,226.637,512.173,20.395
docvqa,1792,1024,docvqa_409,approximated,384.747,444.641,447.54,521.33,968.87,24.825,0.397109,157.533,223.673,225.903,747.233,24.825,156.439,224.177,226.721,748.051,24.825
docvqa,1792,1024,docvqa_24505,approximated,378.965,438.664,441.45,406.559,848.009,25.41,0.446888,166.433,232.534,235.894,642.453,25.41,156.707,223.771,226.179,632.738,25.41
docvqa,1792,1024,docvqa_410,approximated,400.649,460.645,463.177,648.325,1111.502,24.936,0.360458,155.467,221.624,223.997,872.322,24.936,156.699,223.318,231.21,879.535,24.936
docvqa,1792,1024,docvqa_49565,approximated,392.037,451.637,455.106,243.008,698.114,20.251,0.561566,156.044,222.216,224.748,467.756,20.251,158.138,224.28,226.719,469.727,20.251
docvqa,1792,1024,docvqa_16801,approximated,399.972,459.781,462.481,232.545,695.026,25.838,0.575477,165.039,231.009,233.616,466.161,25.838,156.516,225.403,227.815,460.36,25.838
docvqa,1792,1024,docvqa_49569,approximated,374.349,433.939,436.363,294.731,731.094,22.672,0.51204,157.034,229.861,233.309,528.04,22.672,156.545,222.756,225.151,519.882,22.672
docvqa,1792,1024,docvqa_57765,approximated,395.727,456.829,459.327,447.936,907.263,22.397,0.436177,155.753,221.907,224.246,672.182,22.397,156.672,222.924,225.177,673.113,22.397
docvqa,1792,1024,docvqa_57766,approximated,348.603,408.097,410.397,329.777,740.174,20.611,0.470974,156.411,225.265,227.846,557.623,20.611,156.865,223.188,225.997,555.774,20.611
docvqa,1792,1024,docvqa_57767,approximated,396.333,457.455,459.731,279.308,739.039,21.485,0.536281,155.705,222.499,224.754,504.062,21.485,156.529,222.772,225.245,504.553,21.485
docvqa,1792,1024,docvqa_58700,approximated,377.73,437.746,439.978,557.433,997.411,26.544,0.378711,156.587,222.755,225.046,782.479,26.544,156.979,223.287,225.891,783.324,26.544
docvqa,1792,1024,docvqa_49574,approximated,385.053,445.175,447.633,439.148,886.781,23.113,0.434214,156.97,224.676,227.291,666.439,23.113,156.565,222.698,225.063,664.211,23.113
